ProductID,SubcategoryID,Product Name,Product Description,PriceEach,Cost,SKU,Active
259,38,Raw Almonds ORG,"organic almonds, raw pariel supreme almonds",12.22,9.42,5129,Yes
260,43,Ground Black Pepper,Coarsely ground black pepper,16.89,7.88,5108,Yes
261,43,Celery Seed ORG,Organic whole celery seed,15.35,8.74,5069,Yes
262,14,French Green Clay,raw body care ingredient. french green clay,14.66,9.6,3004,Yes
263,36,Yerba Mate Tea - Guayaki ORG,Organic Guakaki Yerba Mate loose leaf tea,13.54,8.81,5199,No
264,38,Raw Cashews ORG,"Raw organic cashews, 320 to a lb.",11.19,6.37,5128,Yes
265,43,Oregano,Oregano cut and sifted,14.2,5.11,5117,Yes
266,43,No Chicken Veggie Broth,"Powdered ""chicken"" broth, vegetarian",12.8,7.04,5112,Yes
267,36,Gunpowder Mint Green,Gunpowder pearl mint green tea,14.17,9.25,5202,No
268,43,Curry Powder ORG,Organic curry powder,15.22,9.3,5084,Yes
269,43,Chicory Root ORG,"Organic chicory root, granulated",19.2,11.75,5072,Yes
270,43,Ginger Ground ORG,Organic ground ginger root,18.78,9.72,5090,Yes
271,36,Hibiscus - Cut and Sifted,Cut and sifted Organic Hibiscus,15.79,9.95,5197,No
272,49,Ana's Beeswax Wrap,three pack of beeswax wrap by Anna,16.39,10,1013,Yes
273,43,Cumin - Ground ORG,organic ground cumin seed,23.84,10.17,5073,No
274,43,WHLS- Black Peppercorns Conv Aunt Pattys 1lb,Aunt Patty's black peppercorns,16.47,14,W50105,Yes
275,43,Basil ORG,Organic sweet basil cut and sifted,21.64,6.8,5068,Yes
276,43,Rosemary Leaf ORG,Organic rosemary leaf whole,20.7,10.5,5093,No
277,43,Italian Seasoning,Italian seasoning,24.34,10.75,5076,Yes
278,9,French Press,"french press, glass",18.95,11.49,1010,Yes
279,50,Coffee Mexican ORG,"The Bean Whole coffee, Organic Beans, Mexican",15.84,11,5035,No
280,50,Coffee Colombian,The Bean Whole coffeeColumbian,15.84,11,5036,No
281,50,Coffee Papua New Guinea,"The Whole Bean coffee, Papua New Guinea",15.84,11,5037,No
282,50,Coffee Guatemalan Tikal,"The Bean Whole coffee beans, Guatemalian",15.84,11,5038,No
283,50,Coffee Honduran ORG,"The Bean Whole coffee, Honduran Organic beans",15.84,11,5039,No
284,50,Coffee Burundi Fair Trade,"The Bean Whole coffee, Burundi fair trade",15.84,11,5040,No
285,38,Sliced Almonds,,8.49,4.9,5136,Yes
286,43,Paprika ORG,organic paprika powder,20,11.26,5079,No
287,43,Garlic Powder ORG,garlic powder,20.1,12.06,5088,No
288,3,"Fanny pack, insulated",navy blue insulated fanny pack,22.49,11.43,1003,No
289,36,Rooibos Tea ORG,Organic rooibos tea in jar,22.74,14.78,5194,Yes
290,43,Star Anise Select Whole,whole star anise,18.38,11.67,5075,No
291,43,Smoked Paprika ORG,organic smoked paprika,21.54,11.7,5080,No
292,43,Sage ORG,"Sage, Organic, rubbed",20,12.02,5120,Yes
293,43,Black Peppercorns ORG,organic black peppercorns in jar,27.84,13.92,5082,No
294,36,Chai - Black Tea Ground,"chai black tea ground, in jar",19.62,12.75,5190,No
295,36,Peppermint Tea ORG,organic peppermint tea in jar,21.25,12.13,5192,Yes
296,33,Fleur de Sel Salt,fleur de sel in jar,20,13,5152,No
297,43,WHLS- Black Pepper Finely Ground 1lb,"finely ground, 1 lb bag for cafe",15.39,13.08,W50107,Yes
298,36,Chai - Indian Spice Tea,"Indian Spice Chia, loose leaf tea",19.89,13.56,5198,Yes
299,36,Luscious Licorice Tea,Luscious licorice tea in jar,18.4,11.21,5196,Yes
300,36,English Breakfast Tea ORG,Organic English breakfast tea in jar,25.98,12.99,5193,Yes
301,43,Bay Leaf ORG,Whole organic bay leaf,27.33,14,5096,Yes
302,43,Nutmeg - Whole,Whole nutmeg non GMO,22.2,14.44,5100,Yes
303,43,Allspice ORG,Organic ground allspice 1 lb,42.48,21.24,5067,Yes
304,10,"Essential oil, basil",Basil essential oil Glory Bee,24.48,14.69,2025,No
305,31,WHLS- Coconut Milk Canned ORG 3.13qt,Organic Coconut Milk in 3.13 qt cans,17.59,14.95,W50023,Yes
306,43,Vindaloo Curry ORG,Organic Vindaloo Curry Powder,26,15,5083,Yes
307,36,Gunpowder Green Tea ORG,"organic gunpowder green tea, in jar",25,15.27,5191,Yes
308,36,Relaxing Blend Tea ORG,"Organic Relaxing herbal tea, chamomile, red raseberry leaf, pepermint leaf",27,16,5205,Yes
309,43,Ceylon Cinnamon ORG,Ceylon cinnamon organic ground,23.84,15.5,5066,No
310,36,Chai Tea ORG,"Chai tea, organic, fair trade",24.2,15.77,5204,Yes
311,51,Olio Facial Bar,Hello!Bulk charcoal and sea salt facial bar by Olio,27,16,2034,Yes
312,43,Garam Masala ORG,organic garam masala,32.02,16.01,5089,Yes
313,51,Olio - Any,Hello!Bulk solid shampoo bar by Olio,27,16,2046,Yes
314,43,Pumpkin Spice ORG,Organic Pumpkin Pie Spice,25.38,16.5,5102,No
315,51,Olio Deodorant Bar,Hello!Bulk natural deodorant by Olio,27,16,2009,Yes
316,36,Earl Grey Tea ORG,Organic earl grey tea in jar,33.99,20.8,5195,Yes
317,43,"Cayenne Powder, CONV","Cardamom, spice, decorticated (not in pod) non GMO",11.45,5.4,5099,Yes
318,43,Herbs de Provence ORG,organic herbs de provence,27.69,18,5091,No
319,43,Cloves - Whole,"whole cloves, aunt pattys",37.5,23.5,5095,Yes
320,10,"Essential oil, sweet orange floz Inventory Unit",sweet orange essential oil GloryBee,2.17,1.24,2023,Yes
321,10,"Essential oil, Himalayan Cedar floz Inventory unit",Glory Bee essential oil. Himalayan Cedarwood NOT food Grade,2.2,1.25,2032,No
322,43,Dill Weed ORG,organic dill weed,35.44,17.72,5085,Yes
323,7,Eco Nuts laundry cleaner,Eco Nuts laundry cleaning nuts,36.45,21.87,4004,No
324,43,WHLS- Cumin Aunt Pattys 5lb,Wholesale 5lb conventional cumin,27.8,23.63,W50106,Yes
325,36,Chai - Darjeeling ORG,"Organic Darjeeling Chai, Mountain Rose Classic Chai",36.92,24,5200,No
326,43,Cloves - Ground ORG,Organic Ground Cloves,40,25.79,5118,Yes
327,52,WHLS- CASE Almond Milk - 32oz - Alm. Breeze Unsweet.,Almond Breeze unsweetend almond milk 12/32oz,30.71,26.1,W50123,Yes
328,53,"WHLS- Tortillas, Tumaros Food","Tortillas, food service pack",32.24,27.4,W50018,Yes
329,43,Nutmeg - Ground,Ground Organic Nutmeg,47.84,27.64,5115,No
330,43,Cardamom,Ground Frontier Cardamom,43.15,28.05,5116,No
331,10,"Essential Oil, Lemongrass FLOZ inventory unit","Lemon Grass essential oil,",3.05,1.74,2028,Yes
332,52,WHLS - cheddar vevan,"case coconut milk, organic So Delicious shelf stable",54.49,29.92,W50124,Yes
333,52,WHLS- Almond milk ORG - 32floz Box - Pacific Foods,"Organic Pacific Foods almond milk, unsweetened",37.33,31.73,W50125,Yes
334,12,WHLS- Cane Sugar ORG 50lb Bag,"Organic cane sugar, 25lb bag",38.59,32.8,W50185,Yes
335,40,VOID,Gallon Aunt Patty's avocado oil,39.24,33.35,W50144,No
336,10,"Essential oil, Lemon, floz Inventory Unit",Lemon essential oil,3.73,2.12,2030,No
337,54,WHLS- CASE Applesauce Unsweetened 6.63lb Can,"case, Applesauce unsweetened 6/6.63 cans",41,34.85,W50064,Yes
338,11,Vanilla ORG,Organic Aunt Patty's vanilla,71.79,46.67,5010,No
339,36,Pu 'erh ORG Tea,Organic and Fair Trade Pu'erh tea,61.54,40,5201,No
340,40,WHLS- Coconut Oil Unrefined ORG - 1gal Pail Aunt Pattys,"Pail, 1 gallon for restaurants, coconut oil unrefined virgin",49,41.65,W50140,Yes
341,43,WHLS- Italian Seasoning Aunt Pattys 5lb,Italian seasoning w/o garlic 5 lb,50.76,43.15,W50109,Yes
342,17,"WHLS- Hemp Hearts, 5lb bag, Manitoba",Manitoba organic hemp hearts,50.98,43.33,W50167,Yes
343,23,"Shea butter, Organic, Glory Bee",organic shea butter in 5 lb pail,67.31,43.75,2013,No
344,10,"Essential oil, Tea tree floz inventory unit",tea tree essential oil GloryBee,5.89,3.37,2022,Yes
345,13,WHLS- Tapioca Starch ORG,"55 lb bag tapioca starch, Organic",57.27,48.68,W50062,Yes
346,40,"WHLS- Canola Oil,  35lb CBT, non GMO","woodstock canola oil, non gmo, foodservice",57.38,48.77,W50141,Yes
347,10,"Essential oil, lavender FLOZ Inventory Unit",Lavender essential oil GloryBee,5.57,3.17,2024,Yes
348,45,WHLS- Eggs - Cage Free ORG,Organic brown cage free eggs.,85.22,55.39,W50047,Yes
349,10,"Essential Oil, Wintergreen floz inventory unit",Wintergreen essential oil,6.16,3.51,2029,No
350,17,WHLS- Quinoa Tri color ORG 25lb bag,Tri colore organic quinoa,67.92,57.73,W50166,Yes
351,24,WHLS- Tahini - Once Again - 9lb Pail,"Wholesale, pail 9lb Once Again Tahini",70.58,59.99,W50043,Yes
352,8,WHLS- apple cider vinegar ORG,4 gallon case of Braggs apple cider vinegar,71.64,60.89,W50210,Yes
353,10,"Essential oil, Peppermint floz, Inventory Unit",peppermint essential oil GloryBee,6.84,3.9,2026,Yes
354,12,"WHLS- brown rice syrup,  40lb",40 lb pail organic brown rice syrup,88.86,75.53,W50186,Yes
355,45,WHLS- Eggs - Farmers Brown Large ORG,"brown large eggs, cage free, pasture fed",126.34,82.12,W50046,Yes
356,11,WHLS- Dark Chocolate Chips - 22lb - Callebaut,"semi sweet chocolate chips, callebaut",98.18,83.45,W50032,Yes
357,24,WHLS- Kalamata Olives Pitted ORG,"Organic pitted Kalamata olives, Martinis",115.92,98.53,W50044,Yes
358,40,"WHLS- Avocado Oil, 35lb, Aunt Patty's","Expeller pressed avacado oil, 35lb",147.02,124.97,W50142,Yes
359,39,WHLS- CASE Cashew Butter ORG - 12/16oz Once Again,Once Again organic cashew butter,168.06,142.85,W50126,Yes
360,40,WHLS- Coconut Oil ORG - 36.5lb Pail Aunt Pattys,organic pail of coconut oil 36.50 lbs,113.88,96.8,W50138,Yes
361,40,Avocado Oil,35 lb napa valley avocado oil,7.76,4.91,W50143,No
362,17,WHLS- Rolled Oats ORG 50lb Bag,50lb Bag of Organic grain miller rolled oats,56.18,46.18,W50161,Yes
363,30,"Cru Kombucha, Blackberry Pear",Locally made Cru Kombucha,3.95,2.12,5212,No
364,30,"Cru Kombucha, Lemon Ginger",Locally made Cru Kombucha,3.95,2.12,5213,No
365,30,"Cru Kombucha, Pineapple Tumeric",Locally made Cru Kombucha,3.95,2.12,5214,No
366,54,WHLS- Applesauce Unsweetened  6.63lb Can,Can or unsweetend applesauce,6.82,5.8,W50211,Yes
367,55,368824,Bottle Deposit 24oz,-1,0,100000003725,Yes
368,40,WHLS- Avocado Oil ( Matrix Category),,0,,100000019610,No
369,40,"WHLS- Coconut Oil Unrefined ORG, 36.5lb Pail Aunt Pattys","Unrefined, organic coconut oil in 36.5 lb pail",171.6,145.86,W50213,Yes
370,56,Gift Card,,0,0,100000003756,Yes
371,46,Corn Chips w/ Flax Seed,,4.15,2.19,5216,No
372,24,Tessemae's Natural Ketchup 10oz Jar,Tessemae's Natural Ketchup 10oz Jar,6.98,4.68,5217,No
373,24,Sir Kensington Mayo 16oz,Sir Kensington Mayo 16oz,7.4,5.2,5218,No
374,24,Sir Kensington Dijon Mustard 11oz,Sir Kensington Mayo 11oz,6.3,4.45,5219,No
375,24,Cashew Queso Mild Nacho 10.8oz,Cashew Queso Mild Nacho 10.8oz,7.41,4.82,5220,No
376,57,Pasta Sauce - Vodka 24oz,Pasta Sauce- Vodka,6.23,3.93,5221,No
377,57,Pasta Sauce - Spicy Marinara 24oz,Pasta Sauce- Spicy Marinara 24oz,6.23,3.93,5222,No
378,57,Indian Simmer Sauce - Butter Masala 12.5oz,Indian Simmer Sauce-Butter Masala 12.5oz,5.79,3.52,5223,No
379,57,Indian Simmer Sauce - Tikka Masala 12.5oz,Indian Simmer Sauce-Tikka Masala 12.5oz,5.79,3.52,5224,No
380,57,Indian Simmer Sauce - Goan Coconut Curry 12.5oz,Indian Simmer Sauce-Goan Coconut Curry 12.5oz,5.79,3.52,5225,No
381,58,Cold Brew - Kohana - Sweet Black 8oz,"Cold Brew, Kohana, Sweet Black 8oz",3.49,2.01,6001,No
382,58,Cold Brew - Kohana - Tahitian Vanilla 8oz,"Cold Brew, Kohana, Sweet Black 8oz",3.49,2.01,6002,No
383,58,Cold Brew - Kohana - Volcanic Black 8oz,"Cold Brew, Kohana, Volcanic Black 8oz",3.49,2.01,6003,No
384,13,Whole Wheat Flour ORG,"Wheat Flour, Organic",1.09,0.6,5226,Yes
385,45,Eggs 6ct Grade A Large ORG,6 pack Grade A Large Eggs Organic,3.19,2.35,5227,No
386,24,"Salad Dressing, Poppy Seed, Briannas 12oz","Salad Dressing, Poppy Seed, Briannas 12oz",4.69,2.82,5228,No
387,24,"Salad Dressing, Dijon Honey Mustard, Briannas 12oz","Salad Dressing, Dijon Honey Mustard, Briannas 12oz",4.69,2.82,5229,No
388,24,"Salad Dressing, Buttermilk Ranch, Briannas 12oz","Salad Dressing, Poppy Seed, Briannas 12oz",4.69,2.82,5230,No
389,58,"Cold Brew - Blue Bottle, 8oz","Cold Brew, Blue Bottle, 8oz",5.29,3.53,6004,No
390,58,Chai - Ready to Drink Bhakti 16oz,"Chai, Bhakti Ready to Drink, 16oz",4.79,3.11,6005,No
391,58,"Ginger Turmeric - Bhakti Ready to Drink, 16oz","Chai, Bhakti Ready to Drink, 16oz",4.79,3.11,6006,No
392,43,Smoked Paprika,organic paprika powder,22.12,11.06,5231,Yes
393,43,Paprika Powder,paprika powder,19.17,9.85,5232,Yes
394,35,Granola Coconut Almond,"Granola, Coconut Almond",4.89,2.85,5233,No
395,11,Cocoa Powder 10-12%,cocoa powder 10-12%,5.49,3.48,5234,Yes
396,58,"Kombucha, Han's, Pineapple Cactus","Kombucha, Han's, Pineapple Cactus",4.69,3,5235,No
397,58,"Kombucha, Han's, Ginger Hibiscus","Kombucha, Han's, Ginger Hibiscus",4.69,3,5236,No
398,58,"Kombucha, Han's, Elderberry Blood Orange","Kombucha, Han's, Elderberry Blood Orange",4.69,3,5237,No
399,30,Hans Kombucha,"Kombucha, Han's, ANY FLAVOR",5,3.35,5238,Yes
400,10,"Essential Oil, Sweet Orange by floz",,1,,100000005217,No
401,10,Sweet Orange 2floz,,4.5,,5240,No
402,10,Sweet Orange 4floz,,9,,5241,No
403,10,Sweet Orange 6floz,,13.5,,5242,No
404,10,Sweet Orange Dropper,,0.75,,5243,No
405,10,Sweet Orange Vial,,1,,5244,No
406,10,"Essential Oil, by floz",,1,,100000005224,Yes
407,10,"Essential Oil, Peppermint 2floz",,13.75,,5247,Yes
408,10,"Essential Oil, Peppermint 4floz",,27.5,,5248,Yes
409,10,"Essential Oil, Peppermint 6floz",,41.25,,5249,Yes
410,10,"Essential Oil, Peppermint Dropper",,0.75,,5250,Yes
411,10,"Essential Oil, Peppermint Vial",,1,,5251,Yes
412,10,"Essential Oil, Wintergreen 2floz",,12.5,,5252,Yes
413,10,"Essential Oil, Wintergreen 4floz",,25,,5253,Yes
414,10,"Essential Oil, Wintergreen 6floz",,37.5,,5254,Yes
415,10,"Essential Oil, Wintergreen Dropper",,0.75,,5255,Yes
416,10,"Essential Oil, Wintergreen Vial",,1,,5256,Yes
417,10,"Essential Oil, Lemon 2floz",,7.5,,5257,Yes
418,10,"Essential Oil, Lemon 4floz",,15,,5258,Yes
419,10,"Essential Oil, Lemon 6floz",,22.5,,5259,Yes
420,10,"Essential Oil, Lemon Dropper",,0.75,,5260,Yes
421,10,"Essential Oil, Lemon Vial",,1,,5261,Yes
422,10,"Essential Oil, Lemongrass 2floz",,6.25,,5262,Yes
423,10,"Essential Oil, Lemongrass 4floz",,12.5,,5263,Yes
424,10,"Essential Oil, Lemongrass 6floz",,18.75,,5264,Yes
425,10,"Essential Oil, Lemongrass Dropper",,0.75,,5265,Yes
426,10,"Essential Oil, Lemongrass Vial",,1,,5266,Yes
427,10,"Essential Oil, Himalayan Cedar 2floz",,4.5,,5267,Yes
428,10,"Essential Oil, Himalayan Cedar 4floz",,9,,5268,Yes
429,10,"Essential Oil, Himalayan Cedar 6floz",,13.5,,5269,Yes
430,10,"Essential Oil, Himalayan Cedar Dropper",,0.75,,5270,Yes
431,10,"Essential Oil, Himalayan Cedar Vial",,1,,5271,Yes
432,10,"Essential Oil, Lavender 2floz",,11.25,,5272,Yes
433,10,"Essential Oil, Lavender 4floz",,22.5,,5273,Yes
434,10,"Essential Oil, Lavender 6floz",,33.75,,5274,Yes
435,10,"Essential Oil, Lavender Dropper",,0.75,,5275,Yes
436,10,"Essential Oil, Lavender Vial",,1,,5276,Yes
437,10,"Essential Oil, Tea Tree 2floz",,11.78,,5277,Yes
438,10,"Essential Oil, Tea Tree 4floz",,23.56,,5278,Yes
439,10,"Essential Oil, Tea Tree 6floz",,34.56,,5279,Yes
440,10,"Essential Oil, Tea Tree Dropper",,0.75,,5280,Yes
441,10,"Essential Oil, Tea Tree Vial",,1,,5281,Yes
442,10,"Essential Oil, Sweet Orange 2floz",,4.5,,5282,Yes
443,10,"Essential Oil, Sweet Orange 4floz",,9,,5283,Yes
444,10,"Essential Oil, Sweet Orange 6floz",,13,,5284,Yes
445,10,"Essential Oil, Sweet Orange Dropper",,0.75,,5285,Yes
446,10,"Essential Oil, Sweet Orange Vial",,1,,5286,Yes
447,55,368832,Bottle Deposit 32oz,-1,0,100000005248,Yes
448,55,368816,Bottle Deposit 16oz,-0.8,0,100000005279,Yes
449,45,Straus Whole Milk ORG,,5.15,4.96,5295,Yes
450,13,White Flour ORG (Sprouts),"Wheat Flour, Organic, Sprouts",2.15,1.4,5296,No
451,55,3688 1/2 Gal Coupon,1/2 Gallon Milk Bottle Deposit coupon,-2,0,100000005507,Yes
452,59,Dessert Hummus - 4oz SML Any Flavor,Dessert Hummus-4oz,3,1.8,6007,No
453,59,Dessert Hummus- Goin' Coconuts 4oz,Dessert Hummus- Chocolate Spice 4oz,3,1.8,6008,No
454,60,"Hummus, Savory - 4oz, Polka Bean","Savory Hummus 4oz, Polka Bean",3,1.8,6009,No
455,60,Marinated Beans 1pint,Polka Bean Kickin' Beans 1pint LOCAL,5.89,3.6,6010,No
456,60,Marinated Beans  8 oz Polka Bean,,5,3,6011,No
457,60,Polka Bean Bean Burger,Polka Bean Veggie Burger Pack,6.89,4.8,6012,Yes
458,59,Prin Ya Vegan Custard,Vegan Custard- 3.5oz,3.95,2.5,6013,Yes
459,59,Prin-Ya Vegan Custard- Matcha 3.5oz,Prin-Ya Vegan Custard- Matcha 3.5oz,3.95,2.5,6014,No
460,59,Prin Ya Vegan Custard- Seasonal,Prin-Ya Vegan Custard- Seasonal,4.25,3,6015,Yes
461,61,"Butternut Squash, 1pt Jar","Butternut Squash, 1pt Jar",2.48,0,6017,No
462,61,"Broccoli, 1pt Jar","Broccoli Florets, 1pt Jar",1.98,0,6016,No
463,61,"Fresh Cilantro, 8oz jar",Fresh Cilantro 8 oz jar,1.5,0.98,6018,No
464,61,"Basil, Fresh, Local  1pt Jar",Fresh Basil 1pt Jar,0.95,0,6019,No
465,61,"Blueberries, 1pt Jar",Blueberries 1pt Jar,6.98,0,6020,No
466,61,"Berries, 1pt Jar","Berries, 1pt Jar",6.98,0,6021,No
467,61,"Pasilla Peppers, 1pt Jar","Bell Peppers, 1pt Jar",3.22,2.41,6022,No
468,61,"Cucumber, 1pt Jar","Cucumber, 1pt Jar",2.11,0,6023,No
469,61,"Zucchini Noodles, 1qt Jar","Zucchini Noodles, 1qt Jar",3.22,2.41,6024,No
470,62,Butterhead Lettuce,Butterhead Lettuce,2.89,1.65,6030,No
471,10,"Essential Oil, Lemongrass 1floz",,3.15,,2053,Yes
472,30,"Cru Kombucha, Blood Orange Cranberry",Locally made Cru Kombucha,3.95,2.12,5297,No
473,30,"Cru Kombucha, Ginger Pear",Locally made Cru Kombucha,3.95,2.12,5298,No
474,61,"Kale, 1qt Jar","Kale, 1qt Jar",2.89,0,6026,No
475,10,"Essential Oil, Wintergreen 1floz",,6.25,,2054,Yes
476,10,"Essential Oil, Himalayan Cedar 1floz",,2.25,,2055,Yes
477,10,"Essential Oil, Lavender 1floz",,5.29,,2056,Yes
478,10,"Essential Oil, Lemon 1floz",,3.75,,2057,Yes
479,10,"Essential Oil, Peppermint 1floz",,6.9,,2058,Yes
480,10,"Essential Oil, Sweet Orange 1floz",,2.25,,2059,Yes
481,10,"Essential Oil, Tea Tree 1floz",,5.89,3.37,2060,Yes
482,45,Straus Quart Whole Milk ORG,,3.83,3.14,5299,No
483,61,"Tropical Cut Fruit, 1qt Jar","Tropical Cut Fruit, 1qt Jar",7.99,0,6027,No
484,61,"Carrot and Celery Sticks, 1pt Jar","Carrot and Celery Sticks, 1pt Jar",2.49,1.86,6028,No
485,32,Biokleen all purpose cleaner,all purpose citrus cleaner,3.88,2.33,4010,No
486,50,Coffee Peruvian,The Bean Whole coffee Peru,15.84,11,5300,No
487,59,Polka Bean Hummus,Dessert Hummus- 8 oz,5.89,3.6,6029,Yes
488,13,All Purpose Unbleached Flour ORG,"Organic Bakers Craft Flour, Central Milling",0.98,0.63,5301,No
489,34,Ana's Lip Balm,Ana's Lip Balm,8.33,5.4,2061,Yes
490,2,Sprayer Only - Black,Trigger Sprayer black plastic sold seperate,0.98,0.45,7001,Yes
491,1,16oz BOTTLE ONLY - Blue,16oz clear boston round bottle,2.85,1.71,7002,Yes
492,1,16oz Spray Bottle - Blue,16oz Blue glass spray bottle,3.79,2.16,7003,Yes
493,1,16oz Pump Bottle - Blue,16oz blue bottle with pump,3.79,2.21,7004,Yes
494,61,Fresh Spring Mix in Bag,Fresh Local Spring Mix in Bag,3.9,1.5,6031,No
495,1,8oz Aluminum Bottle w white pump,Aluminum 8oz with pump,2.98,1.71,7005,No
496,61,Romaine Lettuce 24 oz jar,Romaine Lettuce 1qt Jar,2,0,6032,No
497,61,"Beet Noodles, 1qt Jar","Beet Noodles, 1 qt Jar",3.22,2.41,6033,No
498,17,Long Grain White Rice ORG,"GF, Organic Rice White, Long Grain",2.89,1.88,5303,No
499,38,Almonds Cocoa Dusted ORG,"Almonds, ORG Cocoa Dusted Chocolate covered",19.89,15.01,5302,No
500,12,Agave - Wholesome Blue Raw,Organic blue light agave,5.29,3.44,5304,No
501,2,Lid reg. mouth simple canning. 12 PACK,,3,2.79,7006,No
502,2,"Band, wide mouth simple canning","Band, wide mouth simple canning",0.25,0.15,7007,Yes
503,61,"Chopped celery onion, garlic pint jar","Celery Onion and pepper, pint jar",3.42,0,6039,No
504,61,"Butternut Squash, 24oz Jar",Butternut Squash 24 oz Jar,3.22,2.41,6040,No
505,61,"Sweet Potato Noodles, 24 oz Jar","Sweet Potato Noodles, 24 oz Jar",2.11,1,6041,No
506,61,"Watermelon, 1pt Jar","Watermelon, 1pt Jar",1.89,0,6042,No
507,63,Pump Store Supply,,0,0.38,100000019627,Yes
508,1,8oz Aluminum Pump Bottle,Aluminum 8oz with pump BLACK,2.98,1.72,7008,Yes
509,17,Hemp Seeds ORG,Hemp Seeds Organic,14.72,9.99,5305,No
510,60,Cache Canning Beets,Cache Canning Beets,10,7,6043,Yes
511,41,ShiKai Shower Gel - Vanilla,Shikai Vanilla shower gel in,8.15,4.88,2063,Yes
512,44,Shikai Lotion - Vanilla,Shikai Lotion Vanilla,8.75,5.25,2064,Yes
513,27,Gummy Cubs - Albanese,"Gummy cubs, albanese, made in USA",4.92,2.96,5306,Yes
514,11,WHLS- Dulce de Leche 30lb,Dulce De Leche 30#,81.76,69.5,W50214,Yes
515,63,Misc Store Supply,,0,0,100000019634,Yes
516,36,Purple Rain Tea,Purple Rain Tea,36.92,24,5307,No
517,36,Immunity Tea,Purple Rain Tea,36.92,24,5308,No
518,36,Holy Basil Tea,Purple Rain Tea,36.92,24,5309,No
519,40,Avocado Oil Expeller Pressed,,6.89,4.05,5310,Yes
520,43,Caraway Seed ORG,Organic whole celery seed,13.12,7.23,5311,Yes
521,61,Veggie Mix 24 oz,Veggie Mix,4.25,0,9035,No
522,61,"Brussel Sprouts, 24  oz jar","Brussel Sprouts, 24  oz jar",2.65,0,6045,No
523,36,Purple Rain Tea,"Organic Relaxing herbal tea, chamomile, red raseberry leaf, pepermint leaf",27,15.31,5312,No
524,11,Chocolate - Eating / Melting,Bulk Chocolate from Millcreek Cacao Roaster,11.95,7.95,5313,No
525,64,Cookies - The Loaf Grain Free,Cookies - The Loaf Grain Free,10.29,7,6046,No
526,64,Sandwich Loaf - The Loaf Grain Free,Sandwich Loaf - The Loaf Grain Free,10.29,7,6047,No
527,64,Irish Soda Bread  - The Loaf Grain Free,Irish Soda Bread  - The Loaf Grain Free,10.29,7,6048,No
528,42,Giovanni Conditioner Smooth as Silk,Giovanni Conditioner Smooth as Silk,9.12,5.65,2065,No
529,61,"Rainbow Chard, 1Qt jar","Rainbow Chard, 1Qt jar",2.11,0,6049,No
530,61,"Purple Cabbage, 1qt Jar","Purple Cabbage, 1qt Jar",2.11,0,6050,No
531,17,WHLS- Raw Sunflower Seeds ORG 25lb bag,Raw Organic Sunflower Seeds 25lb bag,78.78,66.96,W50215,Yes
